Product Name,Description,Price,Currency,Reference_number,URL
Bague Panthère de Cartier,"Or rose, émeraudes, onyx, diamants""}",12600.0,EUR,CRN4765700,https://www.cartier.com/fr-fr/bague-panthere-de-cartier_cod25458910981437619.html#dept=EU_Panthere-de-Cartier
Bague Panthère de Cartier,"Or jaune, onyx""}",18900.0,EUR,CRN4788100,https://www.cartier.com/fr-fr/bague-panthere-de-cartier_cod1647597298556116.html#dept=EU_Panthere-de-Cartier
Bague Panthère de Cartier,"Or jaune, onyx, laque, grenats tsavorites""}",18500.0,EUR,CRN4780900,https://www.cartier.com/fr-fr/bague-panthere-de-cartier_cod43769801097815918.html#dept=EU_Panthere-de-Cartier
Bague Panthère de Cartier,"Or jaune, grenats tsavorites, laque""}",7750.0,EUR,CRB4230800,https://www.cartier.com/fr-fr/bague-panthere-de-cartier_cod25458910981766837.html#dept=EU_Panthere-de-Cartier
Bague Panthère de Cartier,"Or rose, grenats tsavorites, onyx""}",7750.0,EUR,CRB4230900,https://www.cartier.com/fr-fr/bague-panthere-de-cartier_cod25458910981766847.html#dept=EU_Panthere-de-Cartier
Bague Panthère de Cartier,"Or jaune, grenats tsavorite, onyx""}",25300.0,EUR,CRN4722500,https://www.cartier.com/fr-fr/bague-panthere-de-cartier_cod25458910981760423.html#dept=EU_Panthere-de-Cartier
Bague Panthère de Cartier,"Or gris non rhodié, grenats tsavorite, onyx""}",27100.0,EUR,CRN4730900,https://www.cartier.com/fr-fr/bague-panthere-de-cartier_cod25458910981306239.html#dept=EU_Panthere-de-Cartier
Bague Panthère de Cartier,"Or jaune, grenats tsavorite, onyx""}",9600.0,EUR,CRB4221600,https://www.cartier.com/fr-fr/bague-panthere-de-cartier_cod46184799614471645.html#dept=EU_Panthere-de-Cartier
Bague Panthère de Cartier,"Or rose, grenats tsavorite, onyx""}",7600.0,EUR,CRB4215900,https://www.cartier.com/fr-fr/bague-panthere-de-cartier_cod25372685655711831.html#dept=EU_Panthere-de-Cartier
Bague Panthère de Cartier,"Or gris, grenats tsavorite, onyx""}",8150.0,EUR,CRB4099500,https://www.cartier.com/fr-fr/bague-panthere-de-cartier_cod25458910981758014.html#dept=EU_Panthere-de-Cartier
Bague Panthère de Cartier,"Or gris, diamants, émeraudes, onyx""}",28100.0,EUR,CRN4224900,https://www.cartier.com/fr-fr/bague-panthere-de-cartier_cod25458910981759741.html#dept=EU_Panthere-de-Cartier
